Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
EK,Buldooserkobestite ja frontaallaadurite ostmine voi rentimine,13125618
EE,Elektrilevi buroopinna uuriteenuse ost,11839844
EE,Tarkvara arendustoode ja -ressursi ostmine,8880000
EK,Polevkivi ja killustiku raudteetranspordi teenuse ostmine (Johvi-BEJ),8880000
TO,Supply of imported Waste into IRU PP in years 2019-2021 (Imporditud segaolmejaatmete tarne Iru jaatmeenergiaplokki  aastatel 2019-2021),8334250
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarneks aastatel 2019 - 2021,8141628
EE,Iru jaatmeenergiaploki ohtlike jaatmete transpordi ja kaitlemise teenuse osutamine,7912080
EE,Turvateenuste ost ,6418519
NJ,Jaatmepuidu purustamise ja metalli eemaldamise kompleksi ehitamine Balti Elektrijaamas. plokk 11 ,5459816
EE,Konkurss biomassi muugilepingute solmimiseks,5325758
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarneks aastatel 2019 ja 2020 ,5028300
NJ,Kustutamata lubja ostmine,4972800
TO,Paikesepaneelid,4440000
TO,Paikesepaneelide inverterid,4440000
EE,Mootorikutuse jaeost Eesti Energia AS-i kontserni soidukitele,4186485
EE,Iru jaatmeenergiaploki koldetuha transpordi ja kaitlemise teenuse osutamine,4099896
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarne  ,3855341
EE,Konkurss biomassi ostmiseks,3799454
EE,Heakorratood Eesti Energia kontserni buroo- ja tootmishoonetes,3792977
EK,Vahemalt 10-tonnise kandevoimega allmaa laadurveokite ostmine ,3698520
EE,Konkurss biomassi muugilepingute solmimiseks,3164236
EK,Narva karjaari elektrivarustuse tagamine Eesti elektrijaama 8.plokist. Projekti koostamine ja ehitus,3158802
EK,Ankurtoestiku ostmine,3062197
EE,Konkurss biomassi muugilepingute solmimiseks,3049251
EK,Atlas Copco tehnika varuosade ja hooldus- ning remonditeenuse ostmine,2854920
EK,Maardeainete ostmine,2812000
EK,Raudtee kapitaalremondi teenuse ostmine,2559632
EE,Enefit Kaevandused AS-i Narva karjaari tootajate karjaarisisese veoteenuse osutamine,2413584
EE,Vanametalli transpordi ja kaitlemise teenuse osutamine ,2411586
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarneks,2306284
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,2220000
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatavate segaolmejaatmete tarneks aastal 2019 ,2156419
EE,MS Office 365 (voi samavaarse tarkvara) litsentside ost,2144156
TO,Iru elektrijaama jaatmeenergiaploki heitmete puhastamiseks kemikaalide ostmine,2114935
TO,Iru elektrijaama jaatmeenergiaplokis poletatava prugikutuse ja segaolmejaatmete tarneks aastal 2018 ,2060456
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatava segaolmejaatmete ja prugikutuse tarne optsiooniks aastal 2019,2018409
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate olmejaatmete tarne tellimuste alusel ,1860597
EE,Eesti Energia AS) IT-seadmete ostu hange Eesti Energia kontsernile,1840128
NJ,Filtrikottide ostmine,1791866
NJ,Polevkivi kutuse niiskuse ja kuttevaartuse reaalajas mootjate hankimine,1630102
NJ,Filterkottide ostmine,1593190
EE,Infosusteemide arendamine suurenergeetika uksustele ECOS platvormi baasil,1568800
EE,Mootorikutuse ost Eesti Energia AS -i kontserni soidukitele,1564848
TO,Paikesepaneelide paigaldus- ja seadistustood ,1524400
EK,Dispet�erjuhtimise rekonstrueerimine,1479999
EE,Konkurss biomassi ostmiseks Pogi Ou elektrijaama.,1471084
EE,Konkurss hakkepuidu ostmiseks Valka koostootmisjaama,1415376
EE,Prinditeenus,1406000
EE,Heakorratood ja pesumaja teenus Enefit Kaevanduste objektidel,1395126
EK,Laeankurdamispuurpinkide ostmine ,1332000
ER,Balti elektrijaama ploki nr 9 ja 10 astmete nr 19. 20. 21 ja 22 demonteerimine,1331623
NT,Uue mahuti ehitamine (V=10 000 m3) vastavalt tooprojektile nr 13320-0005,1329440
EK,Algmurde puuraukude puurpinkide ostmine ,1326080
NJ,BEJ platsil asuva toostuspargi nr 3 elektrivarustuse voimsuse suurendamine,1320441
EE,Enterprise Mobility + Security E3 (User SL) litsentside rentimine,1310925
EK,Caterpillar tehnika varuosade ning hooldus- ja remonditeenuses ostmine ,1296480
EE,Aulepa tuulepargi avariiremondi- ja hoodustoode teostamine,1188286
EK,Laeankurdamispuurpinkide ostmine,1183704
EE,KONKURSS BIOMASSI JA FREESTURBA MuuGILEPINGUTE SoLMIMISEKS,1094667
EK,Diiselvedurite TEM remont,1085959
EK,Karjaarikallurite rehvide 24.00 R35 ostmine,1073503
NJ,"Auvere elektrijaama 300 MW energiaploki seadmete ja tehnoloogiliste susteemide
tehniline hooldamine ja remont ",1067198
EE,MARTIN poletamissusteemi ja polemise juhtimise susteemi MICC tehniline teenindamine ning hooldus- ja remontood/ Maintenance services on the combustion system and the MICC combustion control system,1060494
EE,Reisikorraldusteenuse ostmine Eesti Energia AS�i ja kontserni tutarettevotjatele,1036000
NJ,Sulgemisarmatuuri ja varuosade ostmine,939215
EE,Maintenance services for Valka CHP,933863
EE,Biomassi muugilepingu solmimine ,932400
EE,EE Energiakaubanduse Infosusteemide Arendamine,922366
NT,Lammastiku tootmise seadme (PSA) ostmine ja paigaldus,902800
NJ,Eesti elektrijaama tuhavalja �ahtveelaskmete nr 1 ja nr 2 umberpaigutamine,864024
TO,Enampakkumine Iru elektrijaama jaatmeenergiaplokis poletatava prugikutuse tarneks 2019 I poolaastal,848750
EK,Rehvide ja sisekummide ostmine,843600
EK,Vahemalt 14-tonnise kandevoimega allmaa laadurveoki ostmine ,836200
EE,Eesti Energia AS kontserni soiduautode renditeenuse hange,830909
EE,Lauatelefoniteenuse. mobiiltelefoniteenuse ja mobiilse andmesideteenuse hange,827261
EK,Aheraine kinnistu motopargi ehitus ,810541
EE,Raamlepingu solmimine urituste tehniliseks korraldamiseks ja labiviimiseks,799200
EE,Tulemusjuhtimise lahenduse hankimine,795411
EK,Konveierilindi ostmine,788619
EE,Iru elektrijaama jaatmeenergiaplokis poletatavate olmejaatmete tarne ,788011
EE,Stividoriteenuste tellimine,785880
NJ,Narva linna kaugkutte magistraaltorustiku rekonstrueerimine. II etapp ,774543
NJ,Eesti Elektrijaama tuhavalja ulevoolukaevu nr. 3 ja 4 uleviimine ,774289
EK,Sammuvate ekskavaatorite terastrosside ostmine,758426
EE,Konkurss Auvere elektrijaama biomassi muugilepingute solmimiseks,739615
EK,Raudtee kapitaalremondi teenuse ostmine,724883
EK,Diiselvedurite TEM remont,724146
NT,Enefit140 paigaldistele 1.2 Enefit140 uhisleeksusteemi ehitus,720175
EE,Procurement of Production Planning system. Energiatootmise planeerimise vahendi hange. ,714491
TO,Konecranes tosteseadmete hooldus- ja remonttood ning varuosade ostmine,656192
EE,Kohvimasinate rent. hooldus ja tooraine ostmine Eesti Energia AS-i ja tema tutarettevotjate tarbeks,651200
EE,Hulgilitsentside rent,636400
EK,Veerelaagrite ostmine,634920
NJ,Varvilise vanametalli muuk,632269
EK,Konveierilindi ostmine,598516
EE,Energia.ee ja Elektrilevi.ee veebiplatvormi (Liferay) arendused 2018-2019,592000
EE,Varahalduse projekti digitaliseerimine - IFS arendused aastal 2018,592000
EE,Andmeaida arendustoode tellimine,592000
ER,Toojou rentimise raamlepingute solmimine,592000
ER,Toojourent ,592000
EK,Lohkeaugu puurpingi ostmine,589780
EK,Vahemalt 10-tonnise kandevoimega allmaa laadurveoki ostmine,582380
EK,Lintkonveierite rullikute ostmine ,581404
NJ,Auvere elektrijaama peapaasla ehitamine,574240
EE,Konkurss biomassi muugilepingute solmimiseks,571711
NJ,Eesti elektrijaama ploki nr 8 elektrifiltrite 1. valja tuha valjavotususteem tuha transpordiks olemasolevasse punkrisse ja Eesti elektrijaama tuhalao silodesse,570210
NJ,Narva linna soojustorustike loikude asendamine eelisoleeritud torustikega,569599
EK,Allmaakallurite ostmine,559647
ER,Elektrikomponentide ostmine.,558031
EE,Eesti Energia AS kontserni soiduautode ostmine,557388
EE,Raamlepingu solmimine urituste loovlahenduste pakkumiseks ja/voi terviklikuks voi osaliseks korraldamiseks,555000
